Pos,Unnamed: 1,Player,Total,Thru,Round,R1,R2,R3,R4,tournament_name,tournament_id
CUT,-,Martin Laird,+4,-,0,76,72,0,0,Farmers Insurance Open,R2024004
CUT,-,J.J. Spaun,+4,-,0,71,77,0,0,Farmers Insurance Open,R2024004
CUT,-,Sepp Straka,+4,-,0,73,75,0,0,Farmers Insurance Open,R2024004
CUT,-,Jimmy Stanger,+4,-,0,73,75,0,0,Farmers Insurance Open,R2024004
CUT,-,Nick Watney,+5,-,0,75,74,0,0,Farmers Insurance Open,R2024004
CUT,-,Alex Smalley,+5,-,0,73,76,0,0,Farmers Insurance Open,R2024004
CUT,-,Cameron Sisk,+5,-,0,72,77,0,0,Farmers Insurance Open,R2024004
CUT,-,Adam Svensson,+5,-,0,75,74,0,0,Farmers Insurance Open,R2024004
CUT,-,Chris Naegel,+6,-,0,73,77,0,0,Farmers Insurance Open,R2024004
CUT,-,Stewart Cink,+6,-,0,74,76,0,0,Farmers Insurance Open,R2024004
CUT,-,Daniel Berger,+6,-,0,72,78,0,0,Farmers Insurance Open,R2024004
WD,-,Kevin Streelman,0,-,0,71,0,0,0,Farmers Insurance Open,R2024004
